Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
77,DeMarre Carroll,28,ATL,SF,70,69,2189,0,11,88,1,0,5.5,-0.9,35,20,80,10,77,11,283,18,39,DPOY-15
78,Chandler Parsons,26,DAL,SF,66,66,2186,0,0,65,35,0,4.1,2.5,38,40,62,12,93,13,376,26,37,
79,Rudy Gobert,22,UTA,C,82,37,2158,0,0,0,0,100,0.7,1.1,37,28,92,19,128,9,258,23,38,DPOY-5
80,Patrick Patterson,25,TOR,PF,81,4,2156,0,0,0,95,5,5.5,4.8,31,6,72,9,32,7,368,6,20,
81,Michael Carter-Williams,23,2TM,PG,66,63,2149,91,9,0,0,0,-4.2,2.0,133,86,64,17,118,24,1018,23,71,
81,Michael Carter-Williams,23,PHI,PG,41,38,1391,99,1,0,0,0,-9.7,-0.4,90,63,39,11,71,13,704,14,42,
81,Michael Carter-Williams,23,MIL,PG,25,25,758,77,22,1,0,0,5.9,6.4,43,23,25,6,47,11,314,9,29,
82,Greg Monroe,24,DET,PF,69,57,2137,0,0,0,50,50,-0.6,1.8,46,64,72,18,164,5,336,33,85,
83,Enes Freedom,22,2TM,C,75,74,2135,0,0,0,30,70,-1.9,-4.0,32,48,86,34,115,3,135,31,75,
83,Enes Freedom,22,UTA,C,49,48,1326,0,0,0,23,77,-3.7,-5.8,22,25,56,24,58,1,65,17,46,
83,Enes Freedom,22,OKC,C,26,26,809,0,0,0,42,58,1.1,-1.2,10,23,30,10,57,2,70,14,29,
84,Kemba Walker,24,CHO,PG,62,58,2119,92,8,0,0,0,-5.0,-3.3,51,38,48,5,110,23,706,33,76,
85,Serge Ibaka,25,OKC,PF,64,64,2116,0,0,3,89,8,4.0,4.2,23,28,96,26,49,6,135,7,26,
86,Deron Williams,30,BRK,PG,68,55,2114,100,0,0,0,0,0.0,6.7,92,46,71,12,93,26,1009,12,36,
87,Bradley Beal,21,WAS,SG,63,59,2107,2,98,1,0,0,4.5,7.6,63,32,81,13,57,11,428,12,49,
88,Brook Lopez,26,BRK,C,72,44,2100,0,0,0,0,100,-3.1,0.0,22,37,118,29,138,8,121,48,49,
89,DeMar DeRozan,25,TOR,SG,60,60,2100,0,62,38,0,0,2.9,-0.8,51,63,51,13,191,7,523,32,69,
90,Jonas ValanÄiÅ«nas,22,TOR,C,80,80,2096,0,0,0,0,100,-0.5,-8.0,15,39,117,32,119,10,95,15,63,
91,Terrence Ross,23,TOR,SF,82,61,2092,0,17,81,2,0,1.0,-4.8,23,30,64,9,27,6,200,7,30,
92,Corey Brewer,28,2TM,SF,80,17,2087,0,25,71,4,0,-0.8,0.3,62,38,59,14,102,23,396,21,56,6MOY-8
92,Corey Brewer,28,MIN,SF,24,16,680,0,0,92,8,0,-13.9,-5.2,24,14,19,6,33,6,166,6,15,
92,Corey Brewer,28,HOU,SF,56,1,1407,0,37,61,2,0,5.5,3.0,38,24,40,8,69,17,230,15,41,
93,Kenneth Faried,25,DEN,PF,75,71,2086,0,0,3,72,25,-1.3,5.2,44,33,92,30,132,13,204,33,68,
94,J.R. Smith,29,2TM,SG,70,51,2080,0,59,41,0,0,3.3,4.7,59,27,73,7,27,4,456,6,16,
94,J.R. Smith,29,NYK,SG,24,6,619,0,36,63,0,0,-8.4,2.1,25,15,17,3,14,2,183,3,5,
94,J.R. Smith,29,CLE,SG,46,45,1461,0,68,32,0,0,8.2,5.7,34,12,56,4,13,2,273,3,11,
95,Andre Iguodala,31,GSW,SF,77,0,2069,0,1,96,3,0,11.5,1.3,54,16,64,10,52,15,525,11,8,6MOY-4
