Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
78.0,Danny Granger,25.0,IND,SF,67.0,66.0,2424.0,8.5,19.0,0.447,2.7,6.7,0.404,5.8,12.3,0.47,0.518,6.0,6.8,0.878,0.7,4.3,5.1,2.7,1.0,1.4,2.5,3.1,25.7,"MIP-1,AS"
79.0,Josh Smith,23.0,ATL,PF,69.0,69.0,2421.0,6.2,12.6,0.492,0.4,1.3,0.299,5.8,11.3,0.514,0.508,3.1,5.3,0.588,2.0,5.4,7.4,2.5,1.4,1.7,2.4,2.7,16.0,DPOY-16
80.0,Jason Richardson,28.0,2TM,SG,72.0,71.0,2410.0,6.9,14.5,0.477,1.9,4.9,0.397,5.0,9.7,0.518,0.544,2.3,3.0,0.769,1.2,3.6,4.8,2.2,1.1,0.4,1.4,2.2,18.1,
80.0,Jason Richardson,28.0,CHA,SG,14.0,14.0,491.0,7.1,16.1,0.441,2.0,4.3,0.458,5.1,11.8,0.435,0.502,3.0,4.0,0.745,1.0,3.3,4.3,2.6,1.0,0.2,1.8,3.2,19.2,
80.0,Jason Richardson,28.0,PHO,SG,58.0,57.0,1919.0,6.9,14.1,0.488,1.9,5.0,0.383,5.0,9.2,0.545,0.556,2.1,2.7,0.778,1.2,3.7,4.9,2.1,1.2,0.5,1.3,1.9,17.8,
81.0,Mehmet Okur,29.0,UTA,C,72.0,72.0,2409.0,6.4,13.3,0.485,1.3,3.0,0.446,5.1,10.3,0.497,0.536,4.1,5.0,0.817,1.9,6.5,8.3,1.8,0.8,0.8,2.0,3.3,18.3,
82.0,Kelenna Azubuike,25.0,GSW,SF,74.0,51.0,2375.0,5.9,12.8,0.464,1.4,3.2,0.448,4.5,9.6,0.469,0.52,2.8,3.5,0.808,1.7,3.9,5.6,1.8,0.9,0.8,1.4,2.8,16.1,
83.0,Mike Miller,28.0,MIN,SF,73.0,47.0,2356.0,4.0,8.4,0.482,1.3,3.4,0.378,2.7,4.9,0.554,0.559,1.7,2.3,0.732,1.1,6.3,7.4,5.0,0.5,0.5,2.2,2.1,11.0,
84.0,Stephen Jackson,30.0,GSW,SF,59.0,59.0,2339.0,6.4,15.3,0.414,1.6,4.7,0.338,4.8,10.7,0.448,0.466,4.5,5.5,0.826,1.1,3.6,4.7,5.9,1.4,0.5,3.5,2.4,18.8,
85.0,Michael Finley,35.0,SAS,SF,81.0,77.0,2336.0,4.6,10.6,0.437,2.0,4.9,0.411,2.6,5.7,0.459,0.532,0.8,1.0,0.823,0.4,3.8,4.2,1.8,0.6,0.3,0.9,1.3,12.1,
86.0,JosÃ© CalderÃ³n,27.0,TOR,PG,68.0,68.0,2333.0,4.9,9.9,0.497,1.3,3.1,0.406,3.7,6.8,0.538,0.561,2.3,2.4,0.981,0.2,2.7,3.0,9.4,1.1,0.1,2.2,1.8,13.5,
87.0,Lamar Odom,29.0,LAL,PF,78.0,32.0,2316.0,5.4,10.9,0.492,0.5,1.6,0.32,4.9,9.3,0.522,0.516,2.5,4.0,0.623,2.7,7.2,9.9,3.2,1.2,1.5,2.1,3.7,13.8,6MOY-4
88.0,Raja Bell,32.0,2TM,SG,67.0,66.0,2315.0,4.6,10.6,0.437,1.8,4.2,0.421,2.9,6.4,0.448,0.52,1.4,1.6,0.853,0.6,3.1,3.8,2.2,0.8,0.1,1.3,2.6,12.4,DPOY-12
88.0,Raja Bell,32.0,PHO,SG,22.0,22.0,712.0,3.8,8.9,0.429,2.2,4.8,0.468,1.6,4.2,0.386,0.554,0.8,1.1,0.762,0.4,2.8,3.2,1.5,0.7,0.1,0.9,2.9,10.7,
88.0,Raja Bell,32.0,CHA,SG,45.0,44.0,1603.0,5.0,11.4,0.44,1.6,4.0,0.395,3.4,7.4,0.464,0.509,1.6,1.8,0.877,0.7,3.3,4.0,2.5,0.8,0.1,1.5,2.4,13.2,
89.0,Anderson VarejÃ£o,26.0,CLE,PF,81.0,42.0,2306.0,4.2,7.9,0.536,0.0,0.0,0.0,4.2,7.8,0.538,0.536,2.4,3.9,0.616,2.6,6.5,9.1,1.3,1.2,1.0,1.2,3.7,10.8,DPOY-13
90.0,Jason Thompson,22.0,SAC,PF,82.0,56.0,2303.0,5.6,11.2,0.497,0.0,0.1,0.0,5.6,11.1,0.502,0.497,3.1,4.5,0.692,3.7,5.8,9.5,1.5,0.7,0.9,2.3,4.9,14.2,
91.0,Paul Millsap,23.0,UTA,PF,76.0,38.0,2290.0,6.3,11.8,0.534,0.0,0.1,0.0,6.3,11.7,0.537,0.534,3.6,5.1,0.699,3.9,6.3,10.3,2.2,1.2,1.1,2.0,4.5,16.2,6MOY-17
92.0,Richard Hamilton,30.0,DET,SG,67.0,51.0,2279.0,7.4,16.5,0.447,1.1,3.0,0.368,6.3,13.5,0.464,0.48,3.5,4.2,0.848,0.7,2.6,3.3,4.7,0.6,0.1,2.1,2.8,19.4,
93.0,Carmelo Anthony,24.0,DEN,SF,66.0,66.0,2277.0,8.5,19.1,0.443,1.0,2.7,0.371,7.5,16.4,0.455,0.469,5.9,7.4,0.793,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8,NBA3
94.0,Beno Udrih,26.0,SAC,PG,73.0,72.0,2270.0,5.1,11.0,0.461,0.6,1.8,0.31,4.5,9.2,0.491,0.486,2.0,2.4,0.82,0.7,2.8,3.5,5.4,1.3,0.2,2.5,3.0,12.7,
95.0,Spencer Hawes,20.0,SAC,C,77.0,51.0,2259.0,5.9,12.7,0.466,0.6,1.8,0.348,5.3,10.9,0.486,0.491,1.4,2.2,0.662,2.4,6.4,8.7,2.4,0.7,1.5,2.5,4.0,14.0,
96.0,T.J. Ford,25.0,IND,PG,74.0,49.0,2258.0,6.6,14.6,0.452,0.6,1.7,0.337,6.0,12.9,0.467,0.472,3.9,4.5,0.872,0.9,3.2,4.1,6.2,1.4,0.3,2.9,2.9,17.6,
97.0,Kendrick Perkins,24.0,BOS,C,76.0,76.0,2253.0,4.4,7.6,0.577,0.0,0.0,0.0,4.4,7.6,0.58,0.577,1.5,2.6,0.6,3.3,6.6,9.9,1.5,0.4,2.4,2.6,4.0,10.4,
98.0,Shaquille O'Neal,36.0,PHO,C,75.0,75.0,2252.0,8.2,13.4,0.609,0.0,0.0,0.0,8.2,13.4,0.61,0.609,4.9,8.3,0.595,3.0,7.1,10.1,2.0,0.8,1.7,2.7,4.0,21.3,"AS,NBA3"
99.0,Baron Davis,29.0,LAC,PG,65.0,60.0,2248.0,5.7,15.4,0.37,1.6,5.3,0.302,4.1,10.1,0.406,0.422,2.5,3.4,0.757,0.7,3.1,3.8,8.0,1.7,0.6,3.1,3.1,15.5,
100.0,Travis Outlaw,24.0,POR,SF,81.0,6.0,2246.0,6.2,13.6,0.453,1.4,3.8,0.377,4.7,9.8,0.482,0.505,2.8,3.9,0.723,1.1,4.2,5.3,1.3,0.8,0.9,1.5,2.7,16.6,6MOY-5
101.0,J.R. Smith,23.0,DEN,SG,81.0,18.0,2245.0,6.8,15.2,0.446,2.9,7.3,0.397,3.9,8.0,0.491,0.541,3.3,4.4,0.754,0.7,4.1,4.8,3.6,1.3,0.2,2.4,3.0,19.8,6MOY-2
102.0,Al Horford,22.0,ATL,C,67.0,67.0,2242.0,5.0,9.5,0.525,0.0,0.0,0.0,5.0,9.5,0.526,0.525,2.4,3.3,0.727,2.3,7.7,10.0,2.6,0.9,1.5,1.7,3.1,12.4,
103.0,Nate Robinson,24.0,NYK,PG,74.0,11.0,2209.0,7.3,16.8,0.437,2.0,6.3,0.325,5.3,10.5,0.504,0.498,4.1,4.8,0.841,1.6,3.1,4.7,4.9,1.5,0.1,2.3,3.4,20.7,6MOY-3
104.0,Steve Blake,28.0,POR,PG,69.0,69.0,2188.0,4.6,10.6,0.428,2.3,5.4,0.427,2.3,5.2,0.429,0.536,1.0,1.2,0.84,0.5,2.4,2.8,5.7,1.1,0.1,1.8,2.1,12.5,
105.0,Tyrus Thomas,22.0,CHI,PF,79.0,61.0,2175.0,5.1,11.3,0.451,0.0,0.1,0.333,5.0,11.2,0.453,0.453,3.9,5.0,0.783,2.4,6.0,8.4,1.3,1.5,2.5,2.1,3.6,14.2,
106.0,Ramon Sessions,22.0,MIL,PG,79.0,39.0,2173.0,5.7,12.8,0.445,0.1,0.6,0.176,5.6,12.3,0.457,0.449,4.7,5.9,0.794,1.1,3.4,4.5,7.5,1.4,0.1,2.5,2.6,16.2,
107.0,Delonte West,25.0,CLE,SG,64.0,64.0,2152.0,4.8,10.4,0.457,1.5,3.8,0.399,3.2,6.6,0.49,0.53,1.5,1.8,0.833,0.5,2.9,3.4,3.8,1.6,0.2,1.5,2.1,12.6,
108.0,James Posey,32.0,NOH,SG,75.0,0.0,2140.0,3.6,8.8,0.412,2.0,5.3,0.369,1.7,3.5,0.476,0.523,2.0,2.5,0.822,0.6,5.5,6.1,1.4,1.0,0.4,1.3,3.6,11.2,6MOY-16
109.0,Rasheed Wallace,34.0,DET,C,66.0,63.0,2123.0,5.1,12.2,0.419,1.9,5.4,0.354,3.2,6.8,0.471,0.498,1.3,1.7,0.772,0.9,7.4,8.3,1.5,1.1,1.5,1.0,3.3,13.5,
110.0,Luc Mbah a Moute,22.0,MIL,PF,82.0,52.0,2114.0,3.9,8.4,0.462,0.0,0.1,0.0,3.9,8.3,0.466,0.462,2.4,3.3,0.729,3.2,5.1,8.3,1.5,1.5,0.8,1.7,3.5,10.1,
111.0,Kenyon Martin,31.0,DEN,PF,66.0,66.0,2111.0,5.4,11.1,0.491,0.2,0.6,0.368,5.2,10.4,0.498,0.502,2.0,3.4,0.604,1.4,5.4,6.7,2.3,1.6,1.3,1.8,3.4,13.1,
112.0,Brad Miller,32.0,2TM,C,70.0,43.0,2100.0,5.0,10.5,0.476,0.4,1.0,0.411,4.6,9.6,0.482,0.494,3.8,4.7,0.824,2.6,6.8,9.3,4.0,0.9,0.6,2.2,3.8,14.2,
112.0,Brad Miller,32.0,SAC,C,43.0,43.0,1354.0,4.9,10.3,0.474,0.5,1.1,0.465,4.4,9.2,0.475,0.5,3.3,4.1,0.801,2.2,6.9,9.1,3.9,0.8,0.6,2.2,3.6,13.6,
112.0,Brad Miller,32.0,CHI,C,27.0,0.0,746.0,5.2,10.9,0.478,0.1,0.6,0.231,5.1,10.3,0.493,0.485,4.8,5.6,0.853,3.2,6.5,9.7,4.2,1.1,0.6,2.3,4.2,15.3,
